kind,name,count,source_sites
member,"cc.BuilderReader.load",41,"src_jsc/Core/Cocos2d-x/jsb_cocosbuilder.js:18;src_jsc/Core/Cocos2d-x/jsb_cocosbuilder.js:194;src_jsc/Views/ChatContentLayer.js:73;src_jsc/Views/Dialog/AgaSurrenderDialog.js:56;src_jsc/Views/Dialog/AwakeConfirmDialog.js:41;src_jsc/Views/Dialog/BeautyShopDialog.js:255;src_jsc/Views/Dialog/BecomeStrongerDialog.js:279;src_jsc/Views/Dialog/ChargeDialog.js:13;src_jsc/Views/Dialog/ChargePrivilegeDialog.js:67;src_jsc/Views/Dialog/ChatDialog.js:22;src_jsc/Views/Dialog/DailyTaskDialog.js:29;src_jsc/Views/Dialog/DuanWuDialog.js:261;src_jsc/Views/Dialog/FirstChargeDialog.js:14;src_jsc/Views/Dialog/GeneralPreviewDialog.js:21;src_jsc/Views/Dialog/JiFenDuiHuanDialog.js:259;src_jsc/Views/Dialog/LabourlDialog.js:259;src_jsc/Views/Dialog/MemorialDialog.js:259;src_jsc/Views/Dialog/MysteryStoreDialog.js:325;src_jsc/Views/Dialog/PlantTreeDlg.js:237;src_jsc/Views/Dialog/PublicCopyDialog.js:263;src_jsc/Views/Dialog/SpecificDialog.js:221;src_jsc/Views/Dialog/SpiritStoneDialog.js:231;src_jsc/Views/Dialog/UsrUpgradeWillOpen.js:32;src_jsc/Views/Gems/GemsPunchView.js:130;src_jsc/Views/Gems/GemsSophisticationView.js:149;src_jsc/Views/Gems/GemsSophisticationView.js:167;src_jsc/Views/InterService/InterServiceRewardDialog.js:29;src_jsc/Views/InterService/InterServiceRewardPreviewDialog.js:48;src_jsc/Views/InterService/InterServiceWorshipView.js:40;src_jsc/Views/ProgressTimer/BlueProgressTimer.js:19;src_jsc/Views/Table/Cell/ChargeItemCell.js:18;src_jsc/Views/Table/Cell/TaskCell.js:55;src_jsc/Views/Table/Cell/UnionSearchTableViewCell.js:15;src_jsc/Views/Union/UnionCombatMainLayer.js:102;src_jsc/Views/Union/UnionCreate.js:23;src_jsc/Views/Union/UnionDialog.js:180;src_jsc/Views/Union/UnionDonationLayer.js:99;src_jsc/Views/Union/UnionInfoLayer.js:79;src_jsc/Views/Union/UnionSearch.js:21;src_jsc/Views/Union/UnionSearch.js:34;src_jsc/Views/Union/UnionShopLayer.js:238"
member,"cc.BuilderReader.loadAsScene",1,"src_jsc/Core/Cocos2d-x/jsb_cocosbuilder.js:191"
member,"cc.BuilderReader.setResourcePath",1,"src_jsc/Core/Cocos2d-x/jsb_cocosbuilder.js:13"
member,"cc.CHIPMUNK_IMPORT",1,"src_jsc/Core/Cocos2d-x/jsb_cocos2d_constants.js:293"
member,"cc.CONTROL_EVENT_TOTAL_NUMBER",1,"src_jsc/Core/Cocos2d-x/jsb_cocos2d_extension.js:55"
member,"cc.CONTROL_EVENT_TOUCH_CANCEL",1,"src_jsc/Core/Cocos2d-x/jsb_cocos2d_extension.js:71"
member,"cc.CONTROL_EVENT_TOUCH_DOWN",2,"src_jsc/Core/Cocos2d-x/jsb_cocos2d_extension.js:57;src_jsc/Libs/Views/Button/common.js:73"
member,"cc.CONTROL_EVENT_TOUCH_DRAG_ENTER",1,"src_jsc/Core/Cocos2d-x/jsb_cocos2d_extension.js:63"
member,"cc.CONTROL_EVENT_TOUCH_DRAG_EXIT",1,"src_jsc/Core/Cocos2d-x/jsb_cocos2d_extension.js:65"
member,"cc.CONTROL_EVENT_TOUCH_DRAG_INSIDE",2,"src_jsc/Core/Cocos2d-x/jsb_cocos2d_extension.js:59;src_jsc/Libs/Views/Button/common.js:79"
member,"cc.CONTROL_EVENT_TOUCH_DRAG_OUTSIDE",2,"src_jsc/Core/Cocos2d-x/jsb_cocos2d_extension.js:61;src_jsc/Libs/Views/Button/common.js:77"
member,"cc.CONTROL_EVENT_TOUCH_UP_INSIDE",27,"src_jsc/Core/Cocos2d-x/jsb_cocos2d_extension.js:67;src_jsc/Libs/Views/Button/common.js:75;src_jsc/Libs/Views/Button/common.js:171;src_jsc/Libs/Views/Button/common.js:185;src_jsc/Libs/Views/Button/common.js:192;src_jsc/Scene/Login/LoginScene_AnySdk.js:87;src_jsc/Scene/Login/LoginScene_AnySdk.js:95;src_jsc/Scene/Login/LoginScene_AnySdk.js:101;src_jsc/Scene/Login/LoginScene_BfSdk.js:74;src_jsc/Scene/Login/LoginScene_BfSdk.js:82;src_jsc/Scene/Login/LoginScene_BfSdk.js:90;src_jsc/Scene/Login/LoginScene_EasyGuestSdk.js:65;src_jsc/Scene/Login/LoginScene_EasyGuestSdk.js:73;src_jsc/Scene/Login/LoginScene_EasyGuestSdk.js:81;src_jsc/Scene/Login/LoginScene_EasySdk.js:70;src_jsc/Scene/Login/LoginScene_EasySdk.js:78;src_jsc/Scene/Login/LoginScene_EasySdk.js:84;src_jsc/Scene/Login/LoginScene_ThirdGuestSdk.js:79;src_jsc/Scene/Login/LoginScene_ThirdGuestSdk.js:87;src_jsc/Scene/Login/LoginScene_ThirdGuestSdk.js:93;src_jsc/Scene/Login/LoginScene_ThirdSdk.js:85;src_jsc/Scene/Login/LoginScene_ThirdSdk.js:93;src_jsc/Scene/Login/LoginScene_ThirdSdk.js:99;src_jsc/Scene/Social/SocialView.js:52;src_jsc/Views/EquipmentReinforceView.js:74;src_jsc/Views/EquipmentReinforceView.js:84;src_jsc/Views/SortController.js:32"
